title,author,publisher,year_published,ISBN,category,description,image
Laskar Pelangi,Andrea Hirata,Bentang Pustaka,2005,9789793062792 (ISBN10: 9793062797),Fiksi,"Begitu banyak hal menakjubkan yang terjadi dalam masa kecil para anggota Laskar Pelangi. Sebelas orang anak Melayu Belitong yang luar biasa ini tak menyerah walau keadaan tak bersimpati pada mereka. Tengoklah Lintang, seorang kuli kopra cilik yang genius dan dengan senang hati bersepeda 80 kilometer pulang pergi untuk memuaskan dahaganya akan ilmu bahkan terkadang hanya untuk menyanyikan Padamu Negeri di akhir jam sekolah. Atau Mahar, seorang pesuruh tukang parut kelapa sekaligus seniman dadakan yang imajinatif, tak logis, kreatif, dan sering diremehkan sahabat - sahabatnya, namun berhasil mengangkat derajat sekolah kampung mereka dalam karnaval 17 Agustus. Dan juga sembilan orang Laskar Pelangi lain yang begitu bersemangat dalam menjalani hidup dan berjuang meraih cita - cita. Selami ironisnya kehidupan mereka, kejujuran pemikiran mereka, indahnya petualangan mereka, dan temukan diri Anda tertawa, menangis, dan tersentuh saat membaca setiap lembarnya. Buku ini dipersembahkan buat mereka yang meyakini the magic of childhood memories, dan khususnya juga buat siapa saja yang masih meyakini adanya pintu keajaiban lain untuk mengubah dunia: pendidikan.

cerita dalam novel ini sangat mengharukan tentang dunia pendidikan dengan tokoh - tokoh manusia sederhana, jujur, gigih, penuh dedikasi, ulet, sabar, tawakal, takwa, yang dituturkan secara indah dan cerdas.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1489732961i/1362193.jpg
Bumi Manusia,Pramoedya Ananta Toer,Lentera Dipantara,1980,9789799731234 (ISBN10: 9799731232),Fiksi,"Roman Tetralogi Buru mengambil latar belakang dan cikal bakal nation Indonesia di awal abad ke - 20. Dengan membacanya waktu kita dibalikkan sedemikian rupa dan hidup di era membibitnya pergerakan nasional mula - mula, juga pertautan rasa, kegamangan jiwa, percintaan, dan pertarungan kekuatan anonim para srikandi yang mengawal penyemaian bangunan nasional yang kemudian kelak melahirkan Indonesia modern.

Roman bagian pertama; Bumi Manusia, sebagai periode penyemaian dan kegelisahan dimana Minke sebagai aktor sekaligus kreator adalah manusia berdarah priyayi yang semampu mungkin keluar dari kepompong kejawaannya menuju manusia yang bebas dan merdeka, di sudut lain membelah jiwa ke - Eropa - an yang menjadi simbol dan kiblat dari ketinggian pengetahuan dan peradaban.

Pram menggambarkan sebuah adegan antara Minke dengan ayahnya yang sangat sentimentil: Aku mengangkat sembah sebagaimana biasa aku lihat dilakukan punggawa terhadap kakekku dan nenekku dan orang tuaku, waktu lebaran. Dan yang sekarang tak juga kuturunkan sebelum Bupati itu duduk enak di tempatnya. Dalam mengangkat sembah serasa hilang seluruh ilmu dan pengetahuan yang kupelajari tahun demi tahun belakangan ini. Hilang indahnya dunia sebagaimana dijanjikan oleh kemajuan ilmu .... Sembah pengagungan pada leluhur dan pembesar melalui perendahan dan penghinaan diri! Sampai sedatar tanah kalau mungkin! Uh, anak - cucuku tak kurelakan menjalani kehinaan ini.

""Kita kalah, Ma,"" bisikku.

""Kita telah melawan, Nak, Nyo, sebaik - baiknya, sehormat - hormatnya.""",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1565658920i/1398034.jpg
5 cm,Donny Dhirgantoro,Grasindo,2005,9789797591519 (ISBN10: 9797591514),Novel,"Mengisahkan tentang kisah persahabatan cinta, dan mimpi, novel ini sangat layak untuk dibaca oleh anak muda. Banyak pesan moral yang bisa diambil dari novel ini seperti keberanian untuk meraih mimpi, pantang menyerah, serta mengajarkan arti persahabatan yang sesungguhnya. 

Lima sahabat telah menjalin persahabatan selama tujuh tahun. Mereka adalah Arial yang paling tampan, Riani sebagai satu - satunya wanita dalam kelompok itu, Zafran yang berlagak seperti seorang penyair, Ian yang paling subur badannya, dan Genta yang dianggap sebagai leader dalam kelompok itu. Kegemaran mereka adalah mengeksekusi hal - hal yang tidak mungkin dan mencoba segala hal, mulai dari kafe paling terkenal di Jakarta, sampai nonton layar tancap. Semuanya penggemar film, dari film Hollywood sampai film yang nggak kelas kecuali film India karena mereka punya prinsip bahwa semua persoalan di dunia atau masalah pasti ada jalan keluarnya, tapi bukan dalam bentuk joget.

Suatu saat, karena terdorong oleh rasa bosan di antara satu dan yang lain, mereka memutuskan untuk tidak saling berkomunikasi dan bertemu satu sama lain selama tiga bulan. Selama tiga bulan berpisah itulah telah terjadi banyak hal yang membuat hati mereka lebih kaya dari sebelumnya. Pertemuan setelah tiga bulan yang penuh dengan rasa kangen akhirnya terjadi dan dirayakan dengan sebuah perjalanan. Sebuah perjalanan yang penuh dengan keyakinan, mimpi, cita - cita, dan cinta. Sebuah perjalanan yang telah mengubah mereka menjadi manusia sesungguhnya, bukan Cuma seonggok daging yang bisa berbicara, berjalan, dan punya nama.

“Ada yang pernah bilang kalau idealisme adalah kemewahan terakhir yang dimiliki oleh generasi muda….”",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1472231689i/1499340.jpg
Negeri 5 Menara,Ahmad Fuadi,Gramedia Pustaka Utama,2009,9789792248616,Novel,"Alif lahir di pinggir Danau Maninjau dan tidak pernah menginjak tanah di luar ranah Minangkabau. Masa kecilnya adalah berburu durian runtuh di rimba Bukit Barisan, bermain bola di sawah berlumpur dan tentu mandi berkecipak di air biru Danau Maninjau.

Tiba - tiba saja dia harus naik bus tiga hari tiga malam melintasi punggung Sumatera dan Jawa menuju sebuah desa di pelosok Jawa Timur. Ibunya ingin dia menjadi Buya Hamka walau Alif ingin menjadi Habibie. Dengan setengah hati dia mengikuti perintah Ibunya: belajar di pondok.

Di kelas hari pertamanya di Pondok Madani (PM), Alif terkesima dengan “mantera” sakti man jadda wajada. Siapa yang bersungguh - sungguh pasti sukses.

Dia terheran - heran mendengar komentator sepakbola berbahasa Arab, anak mengigau dalam bahasa Inggris, merinding mendengar ribuan orang melagukan Syair Abu Nawas dan terkesan melihat pondoknya setiap pagi seperti melayang di udara.

Dipersatukan oleh hukuman jewer berantai, Alif berteman dekat dengan Raja dari Medan, Said dari Surabaya, Dulmajid dari Sumenep, Atang dari Bandung dan Baso dari Gowa. Di bawah menara masjid yang menjulang, mereka berenam kerap menunggu maghrib sambil menatap awan lembayung yang berarak pulang ke ufuk. Di mata belia mereka, awan - awan itu menjelma menjadi negara dan benua impian masing - masing. Kemana impian jiwa muda ini membawa mereka? Mereka tidak tahu. Yang mereka tahu adalah: Jangan pernah remehkan impian, walau setinggi apa pun. Tuhan sungguh Maha Mendengar.

Bagaimana perjalanan mereka ke ujung dunia ini dimulai? Siapa horor nomor satu mereka? Apa pengalaman mendebarkan di tengah malam buta di sebelah sungai tempat jin buang anak? Bagaimana sampai ada yang kasak - kusuk menjadi mata - mata misterius? Siapa Princess of Madani yang mereka kejar - kejar? Kenapa mereka harus botak berkilat - kilat? Bagaimana sampai Icuk Sugiarto, Arnold Schwarzenegger, Ibnu Rusyd, bahkan Maradona sampai akhirnya ikut campur? Ikuti perjalanan hidup yang inspiratif ini langsung dari mata para pelakunya. Negeri Lima Menara adalah buku pertama dari sebuah trilogi.

Novel ini bercerita tentang kehidupan 6 santri dari 6 daerah yang berbeda menuntut ilmu di Pondok Madani (PM) Ponorogo Jawa Timur yang jauh dari rumah dan berhasil mewujudkan mimpi menggapai jendela dunia.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1249749162i/6688121.jpg
Sang Pemimpi,Andrea Hirata,Bentang Pustaka,2006,9789793062921 (ISBN10: 9793062924),Novel,"Sang Pemimpi adalah sebuah lantunan kisah kehidupan yang memesona dan akan membuat Anda percaya akan tenaga cinta, percaya pada kekuatan mimpi dan pengorbanan, lebih dari itu, akan membuat Anda percaya kepada Tuhan. Andrea akan membawa Anda berkelana menerobos sudut - sudut pemikiran di mana Anda akan menemukan pandangan yang berbeda tentang nasib, tantangan intelektualitas, dan kegembiraan yang meluap - luap, sekaligus kesedihan yang mengharu biru.

Tampak komikal pada awalnya, selayaknya kenakalan remaja biasa, tapi kemudian tanpa Anda sadari, kisah dan karakter - karakter dalam buku ini lambat laun menguasai Anda. Karena potret - potret kecil yang menawan akan menghentakkan Anda pada rasa humor yang halus namun memiliki efek filosofis yang meresonansi. Karena arti perjuangan hidup dalam kemiskinan yang membelit dan cita - cita yang gagah berani dalam kisah dua orang tokoh utama buku ini: Arai dan Ikal akan menuntun Anda dengan semacam keanggunan dan daya tarik agar Anda dapat melihat ke dalam diri sendiri dengan penuh pengharapan, agar Anda menolak semua keputusasaan dan ketakberdayaan Anda sendiri.

“Kita tak kan pernah mendahului nasib!” teriak Arai.
“Kita akan sekolah ke Prancis, menjelajahi Eropa sampai ke Afrika! Apa pun yang terjadi!”",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1489733383i/1407874.jpg
Perahu Kertas,Dee Lestari,Bentang Pustaka & Truedee,2004,9789791227780 (ISBN10: 9791227780),Fiksi,"Perahu Kertas bercerita tentang dua orang yang sama - sama unik bernama Kugy dan Keenan. Kugy adalah seorang mahasiswi Sastra berkepribadian nyentrik yang bercita - cita menjadi juru dongeng. Keenan adalah seorang laki - laki kalem yang cinta melukis, namun harus kuliah Ekonomi karena mengikuti keinginan ayahnya. 

Keduanya bertemu saat sama - sama berkuliah di Bandung. Memiliki koneksi yang kuat, kedua pemimpi ini, Keenan dan Kugy, menyimpan rasa untuk satu sama lain.

Novel ini mengikuti cerita Keenan dan Kugy bukan hanya dari segi percintaan, tetapi juga perjalanan pendewasaan diri, dan juga perjuangan mereka menuju mimpi masing - masing.

Novel Perahu Kertas bertemakan persahabatan, cinta dan idealisme seseorang.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1356225544i/6765740.jpg
Aku Ini Binatang Jalang,Chairil Anwar,PT. Gramedia Pustaka Utama,1986,9786020332444,Puisi,"Koleksi Sajak 1942 - 1949

Selama ini kita tidak bisa menemukan sajak - sajak Chairil Anwar dalam satu buku. sebagian kita temukan dalam Deru Campur Debu dan Kerikil Tajam dan Yang Terampas dan Yang Putus, sedangkan sebagian lagi kita jumpai dalam Tiga Menguak Takdir dan Chairil Anwar Pelopor Angkatan 45. Akan tetapi, sajak - sajak yang terdapat dalam pelbagai buku itu sekarang disatukan dalam Aku Ini Binatang Jalang.

Selain keseluruhan sajak - asli, dalam koleksi ini juga dimuat untuk pertama kalinya surat - surat Chairil  -  yang menggambarkan ""keadaan jiwa""nya  -  kepada karibnya, H.B. Jassin.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1417055734i/1446004.jpg
Edensor,Andrea Hirata,Bentang Pustaka,2007,9789791227025 (ISBN10: 9791227020),Novel,"Aku ingin mendaki puncak tantangan, menerjang batu granit kesulitan, menggoda mara bahaya, dan memecahkan misteri dengan sains. Aku ingin menghirup berupa - rupa pengalaman lalu terjun bebas menyelami labirin lika - liku hidup yang ujungnya tak dapat disangka. Aku mendamba kehidupan dengan kemungkinan - kemungkinan yang beraksi satu sama lain seperti benturan molekul uranium: meletup tak terduga - duga, menyerap, mengikat, mengganda, berkembang, terurai, dan berpencar ke arah yang mengejutkan. Aku ingin ke tempat - tempat yang jauh, menjumpai beragam bahasa dan orang - orang asing. Aku ingin berkelana, menemukan arahku dengan membaca bintang gemintang. Aku ingin mengarungi padang dan gurun - gurun, ingin melepuh terbakar matahari, limbung dihantam angin, dan menciut dicengkeram dingin. Aku ingin kehidupan yang menggetarkan, penuh dengan penaklukan. Aku ingin hidup! Ingin merasakan sari pati hidup!

Arai dan Ikal menempuh hampir 16 jam perjalanan dari Indonesia menuju Belanda. Sesampainya di Belanda, mereka berdua dijemput seorang wanita berparas menawan bernama Mrs. Famke Somers yang mengantarkannya ke sebuah flat sewaan tempat mereka akan menginap. Sayangnya, karena kesalahpahaman mereka berdua diusur dari tempat tersebut dan menghabiskan malam pertama di taman kota di tengah kedinginan yang menusuk tubuh. Udara tak bersahabat tersebut bahkan membuat Ikal seolah sekarat. Keesokan harinya, mereka berjalan - jalan ke pusat kota. Namun dengan penampilan mereka yang kusut, banyak petugas yang menaruh curiga dan menggeledah mereka berdua. Pertolongan kemudian datang setelah Erika, sekretaris Dr. Woodward ditugaskan menjemput mereka dan mengantarkannya kembali ke flat. Seminggu di flat, mereka memutuskan berangkat ke Perancis untuk mencari apartemen tempat tinggal sekaligus mengunjungi menara Eifel yang legendaris itu.
Selang beberapa waktu, perkuliahan dimulai. Mereka dipertemukan orang - orang dari berbagai bangsa. Ikal bertemu dengan seorang gadis Jerman bernama Katya yang memiliki rupa sempurna. Katya kemudian menjalin kasih dengan ikal. Hanya saja, rasa cintanya pada A Ling membua Ikal tak sanggup menjalani kisah tersebut lebih lama. Ia akhirnya memutuskan untuk berteman saja dengan Katya. Ikal memang sangat mencintai A Ling. Sayangnya ia tak tahu dimana keberadaan wanita bermata segaris itu. Ia hanya tahu A Ling meneruskan sekola tata busananya. Bisa saja di Singapura, di Afrika atau bahkan Eropa. Ikal sangat ingat, ia pernah membaca novel yang berkisah tentang sebuah kampung indah bernama Endesor. A Ling sangat ingin ke tempat tersebut.
Dalam perjalanan masa kuliah, Ikal dan teman - temannya dilingkupi kebosanan sehingga mereka memutuskan untuk melakukan taruhan mengelilingi Eropa selama 3 bulan. Siapa yang mampu mengelilingi Negara terbanyak adalah pemenangnya. Taruhan tersebut sebenarnya membuat tujuan lain Ikal terlaksana, yakni mencari A Ling. Mereka memulai perjalanan dari Belanda. Bersama Arai, ia berhasil mengelilingi beberapa Negara cantik di Eropa. Sayangnya, Arai terserang penyakit pernapasan akut sampai - sampai ia harus dipulangkan ke Indonesia. Akhirnya Ikal memutuskan kembali ke apartemennya di Perancis. Ia disambut kabar murung bahwa dosen pembimbingnya akan segera pensiun dan ia disarankan ikut bersamanya ke sebuah tempat bernama Sheffield di Inggris. Di dalam perjalanan ia melewati sebuah desa yang sangat indah dan memutuskan untuk singgah. Ia tak tahu nama tempat itu, dan saat bertanya ia terkejut sebab tempat itu bernama Endesor.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1489733485i/1464757.jpg
Robohnya Surau Kami,A.A. Navis,Gramedia,2003,9794030465,Sastra,"Dalam cerpen ""Robohnya Surau Kami"", berdialoglah Tuhan dengan Haji Saleh, seorang warga negara Indonesia yang selama hidupnya hanya beribadah dan beribadah…
""kenapa engkau biarkan dirimu melarat, hingga anak cucumu teraniaya semua. Sedang harta bendamu kau biarkan orang lain yang mengambilnya untuk anak cucu mereka. Dan engkau lebih suka berkelahi antara kamu sendiri, saling menipu, saling memeras. Aku beri kau negeri yang kaya raya, tapi kau malas. Kau lebih suka beribadat saja, karena beribadat tidak mengeluarkan peluh, tidak membanting tulang. Sedang aku menyuruh engkau semuanya beramal di samping beribadat. Bagaimana engkau bisa beramal kalau engkau miskin. Engkau kira aku ini suka pujian, mabuk disembah saja, hingga kerjamu lain tidak memuji - muji dan menyembahku saja.
Tidak..."" Semua jadi pucat pasi tak berani berkata apa  -  apa lagi. Tahulah mereka sekarang apa jalan yang diridai Allah di dunia.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1466437017i/1455480.jpg
Catatan Seorang Demonstran,Soe Hok Gie,Pustaka LP3ES Indonesia,1983,9789793330334 (ISBN10: 9793330333),NonFiksi,"Buku yang berisi pemikiran  -  pemikiran (alm.) Soe Hok Gie, mahasiswa Jurusan Sejarah FSUI. Disusun lewat pengumpulan karya  -  karya tulisan Gie, baik di jurnal hariannya, maupun dari tulisan  -  tulisannya di koran nasional.
menarik untuk dibaca. terlebih lagi lewat penggambarannya sebagai mahasiswa pada era orde lama, Gie dapat membawa kita menyelami kehidupan rakyat Indonesia sekitar tahun 1960 - an.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1416554142i/1488085.jpg
